Time,Calls in SL,BH,Hoop,Wait T,C,Floor,IB Calls,OB Calls,IB Voicemail Calls,IB Forwarded Calls,IB Overflow Calls,IB Regular Calls,Aban In Queue,Avg. Wait Time,SL %,SL % - 18s,IB Regular Calls Completed,IB Handled,IB AHT,OB Handled,OB AHT
1/3/2021 6:00,0,Out of BH,12,0,130,12,2,0,1,0,1,0,0,0,,,0,0,,0,
1/3/2021 8:00,0,Business Hours,16,0,131,16,5,0,3,0,1,1,0,0,,,1,0,,0,
1/3/2021 8:00,0,Business Hours,16,0,132,16,3,0,0,0,3,0,0,,,,0,0,,0,
1/3/2021 8:30,0,Business Hours,17,0,133,17,1,0,1,0,0,0,0,0,,,0,0,,0,
1/3/2021 8:30,0,Business Hours,17,0,134,17,1,0,0,0,1,0,0,,,,0,0,,0,
1/3/2021 9:00,1,Business Hours,18,73,135,18,2,0,0,0,0,2,0,36.5,0.5,0,2,2,456,0,
1/3/2021 9:00,6,Business Hours,18,146,136,18,9,5,0,2,0,7,0,20.86,0.86,0.57,7,7,304,5,114.6
1/3/2021 9:30,0,Business Hours,19,45,137,19,1,0,0,0,0,1,0,45,0,0,1,1,146,0,
1/3/2021 9:30,3,Business Hours,19,25,138,19,3,10,0,0,0,3,0,12.5,1,1,2,2,200,10,175.8
1/3/2021 10:00,7,Business Hours,20,124,139,20,8,3,0,0,0,8,0,20.67,0.83,0.83,6,6,209,3,118.67
1/3/2021 10:00,2,Business Hours,20,34,140,20,2,0,0,0,0,2,0,17,1,0.5,2,2,146,0,
1/3/2021 10:30,6,Business Hours,21,60,141,21,8,2,0,2,0,6,0,15,1,1,4,4,227,2,156.5
1/3/2021 11:00,4,Business Hours,22,184,142,22,6,6,0,0,0,6,1,46,0.6,0.6,4,4,165,5,229
1/3/2021 11:00,2,Business Hours,22,12,143,22,2,0,0,0,0,2,0,6,1,1,2,2,187,0,
1/3/2021 11:30,3,Business Hours,23,68,144,23,4,2,1,0,0,3,0,22.5,1,0.67,3,3,206,1,337
1/3/2021 11:30,0,Business Hours,23,0,145,23,2,0,0,0,0,2,0,,,,0,0,,0,
1/3/2021 12:00,2,Business Hours,24,26,146,24,2,0,0,0,0,2,0,13,1,1,2,2,142,0,
1/3/2021 12:30,4,Business Hours,25,166,147,25,5,0,0,0,0,5,0,41.5,0.75,0.25,4,4,265,0,
